QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,25,D4RGB,50,RED & GREEN DOT REFLEX SIGHT /4 DIFFERENT RETICLES/WEAVER BASE/BLACK,,,814108011291,8/1/2008, $ 41.93 , $ 43.60 ,  ,  , $ 60.99 , $ 72.99 
,25,D4RGT,50,RED & GREEN DOT REFLEX SIGHT /4 DIFFERENT RETICLES/WEAVER BASE/TAN,,,848754002129,7/9/2014, $ 41.93 , $ 43.60 ,  ,  , $ 67.99 , $ 79.99 
,25,D4RGBQ,50,RED & GREEN REFLEX SIGHT/4 RETICLES/QR MNT/BLK,,,848754011138,11/5/2018, $ 41.93 , $ 43.60 ,  ,  , $ 60.99 , $ 72.99 
,24,DAB,50,"1X25 RED & GREEN DOT REFLEX SIGHT / WEAVER & 3/8"" DOVETAIL BASE/BLACK",,,814108013806,, $ 16.89 , $ 17.56 ,  ,  , $ 24.99 , $ 30.99 
,29,DBB130,50,1X30 B-STYLE RED DOT SIGHT / WEAVER BASE,,,814108011178,, $ 27.95 , $ 29.07 ,  ,  , $ 36.99 , $ 48.99 
,29,DBB142,50,1X42 B-STYLE RED DOT SIGHT / WEAVER BASE,,,814108011192,, $ 29.41 , $ 30.59 ,  ,  , $ 36.99 , $ 48.99 
,26,DDAB,100,COMPACT TACTICAL RED DOT REFLEX SIGHT/WEAVER BASE/BLACK,,,814108011321,, $ 23.69 , $ 24.64 ,  ,  , $ 34.99 , $ 84.99 
,26,DDABG,100,COMPACT TACTICAL GREEN MICRO DOT SIGHT/STANDARD SWITCH/WVR MOUNT/BLACK,,,848754001214,6/12/2014, $ 23.69 , $ 24.64 ,  ,  , $ 34.99 , $ 84.99 
,26,DDABL,100,COMPACT TACTICAL BLUE MICRO DOT SIGHT/STANDARD SWITCH/WVR MOUNT/BLACK,,,848754001207,6/12/2014, $ 23.69 , $ 24.64 ,  ,  , $ 34.99 , $ 84.99 
,23,DLB140R,25,1X40 RED DOT SIGHT WITH BUILT IN RED LASER/QUICK RELEASE WEAVER MOUNT,,,814108011352,1/5/2009, $ 51.91 , $ 53.99 ,  ,  , $ 67.99 , $ 79.99 
,28,DMRG130,50,TACTICAL RED/GREEN DOT WITH CANTILEVER WEAVER MOUNT ,,,814108016593,5/25/2011, $ 32.88 , $ 34.20 ,  ,  , $ 48.99 , $ 60.99 
,28,DMRK132A,50,MARK III TACTICAL RED DOT SIGHT/1X32/QUICK RELEASE/ADVANCED/4 RETICLE,,,848754003447,5/20/2015, $ 46.59 , $ 48.44 ,  ,  , $ 67.99 , $ 79.99 
,24,DP,100,RED DOT REFLEX SIGHT/ WEAVER BASE,,,814108011123,, $ 7.99 , $ 8.31 ,  ,  , $ 12.99 , $ 16.99 
,24,DP130,100,30mm Red Dot Tube Reflex Optic - Plastic,,,814108011147,, $ 18.77 , $ 19.51 ,  ,  , $ 21.99 , $ 32.99 
,24,DP38,100,"RED DOT REFLEX SIGHT/ 3/8"" DOVETAIL BASE",,,814108011130,, $ 7.99 , $ 8.31 ,  ,  , $ 12.99 , $ 16.99 
,24,DPTV2,100,ALUMINUM DOT SIGHT/RED/GEN II/TAN,,,848754002969,1/29/2015, $ 11.98 , $ 12.46 ,  ,  , $ 16.99 , $ 23.99 
,24,DPV2,100,ALUMINUM DOT SIGHT/RED/GEN II/BLACK,,,848754002952,1/29/2015, $ 11.98 , $ 12.46 ,  ,  , $ 16.99 , $ 23.99 
,27,DRGB135,50,TACTICAL RED/GREEN/BLUE DOT WITH CANTILEVER WEAVER MOUNT ,,,814108018085,3/30/2012, $ 39.80 , $ 41.39 ,  ,  , $ 60.99 , $ 72.99 
,27,DRGB135T,50,DOT SIGHT/TACTICAL/1X35/RED GRN BLUE/WVR MNT/TAN,,,848754001191,2/27/2014, $ 39.80 , $ 41.39 ,  ,  , $ 60.99 , $ 72.99 
,27,DRGB135U,50,DOT SIGHT/TACTICAL/1X35/RED GRN BLUE/WVR MNT/URBAN GRAY,,,848754002976,12/30/2014, $ 39.80 , $ 41.39 ,  ,  , $ 60.99 , $ 72.99 
,29,SMAG3XFLP,50,3X MAGNIFIER WITH 30MM FLIP TO SIDE MOUNT,,,848754003072,3/25/2015, $ 48.92 , $ 50.86 ,  ,  , $ 71.99 , $ 83.99 
,,GREEN LASERS,,,,,,,,,,,,
,71,A2PRLSG,100,SLIM LINE TACTICAL GREEN LASER,,,814108018504,9/18/2012, $ 38.34 , $ 39.86 ,  ,  , $ 67.99 , $ 72.99 
,71,APRLSG,50,GREEN LASER WITH WEAVER BASE/PRESSURE SWITCH,,,814108012502,, $ 45.25 , $ 47.07 ,  ,  , $ 67.99 , $ 72.99 
,71,APRLSMG,50,PISTOL AND RIFLE GREEN LASER WITH WEAVER MOUNT/PRESSURE SWITCH ,,,814108015176,4/22/2010, $ 49.38 , $ 51.36 ,  ,  , $ 60.99 , $ 84.99 
